날짜,시간,보낸 사람,내용
2025.10.10,20:08,현지,거짓말~ 예전이랑 말투 달라졌어
2025.10.10,20:29,민석,그냥 조심하려고... 괜히 또 상처 줄까봐😅
2025.10.10,20:44,현지,그게 더 불편해. 나한테 자연스럽게 해줬으면 좋겠어
2025.10.10,21:10,민석,응 노력해볼게
2025.10.10,21:35,현지,그 '노력해볼게' 말 이제 너무 많이 들은 거 같아
2025.10.10,21:41,민석,미안해...
2025.10.10,22:08,현지,또 미안이야
2025.10.10,22:21,민석,진짜 괜찮아질 거야 우리
2025.10.10,22:33,현지,그 '괜찮다'가 진짜인지 모르겠어 이제
2025.10.10,23:11,민석,오늘은 그냥 자자 현지야🌙
2025.10.10,23:13,현지,응 잘자
2025.10.10,23:17,현지,근데 나 아직 좀 복잡해
2025.10.10,23:39,민석,응 괜찮아 현지야
2025.10.10,23:42,현지,또 그 말이네
2025.10.10,23:43,현지,나 그냥 잘래
2025.10.10,23:46,민석,그래 잘 자...
2025.10.11,8:52,민석,아침 잘 잤어? 오늘은 좀 괜찮을까?
2025.10.11,9:18,현지,응 그냥... 나아진 거 같기도 하고 모르겠어
2025.10.11,9:20,민석,그래도 다행이다😊
2025.10.11,9:33,현지,민석아
2025.10.11,9:37,민석,응?
2025.10.11,9:39,현지,우리 요즘 대화 너무 조심스러운 거 같아
2025.10.11,9:46,현지,나 그게 더 힘들어
2025.10.11,10:12,민석,그냥 괜찮아지면 자연스러워질 거야
2025.10.11,10:29,현지,그 ‘괜찮다’ 말 이제 좀 무서워
2025.10.11,10:44,민석,그럴 의도 아니야… 미안
2025.10.11,10:57,현지,그래도 고마워. 솔직하게 말해줘서
2025.10.11,11:05,민석,응...
2025.10.11,11:23,현지,우리 제주 가면 진짜 괜찮아질까?
2025.10.11,11:41,민석,아마도... 그랬으면 좋겠다
